sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34997,15003,15001,34999,49998,50002,49995,50005,0.01,0.01,0.01
1,50000,50000,50000,50000,34951,15049,14904,35096,49855,50145,49638,50362,0.724,0.724,0.724
2,50000,50000,50000,50000,34904,15096,15080,34920,49984,50016,49960,50040,0.08,0.08,0.08
3,50000,50000,50000,50000,34891,15109,15000,35000,49891,50109,49728,50272,0.544,0.544,0.544
4,50000,50000,50000,50000,35033,14967,14865,35135,49898,50102,49745,50255,0.51,0.51,0.51
5,50000,50000,50000,50000,35198,14802,15015,34985,50213,49787,50533,49467,1.066,1.066,1.066
6,50000,50000,50000,50000,35025,14975,15061,34939,50086,49914,50215,49785,0.43,0.43,0.43
7,50000,50000,50000,50000,35075,14925,15074,34926,50149,49851,50373,49627,0.746,0.746,0.746
8,50000,50000,50000,50000,35090,14910,15144,34856,50234,49766,50585,49415,1.17,1.17,1.17
9,50000,50000,50000,50000,34832,15168,15007,34993,49839,50161,49598,50402,0.804,0.804,0.804
10,50000,50000,50000,50000,35163,14837,15143,34857,50306,49694,50765,49235,1.53,1.53,1.53
11,50000,50000,50000,50000,34979,15021,14969,35031,49948,50052,49870,50130,0.26,0.26,0.26
12,50000,50000,50000,50000,34930,15070,14859,35141,49789,50211,49473,50527,1.054,1.054,1.054
13,50000,50000,50000,50000,35011,14989,14916,35084,49927,50073,49818,50182,0.364,0.364,0.364
14,50000,50000,50000,50000,35119,14881,14968,35032,50087,49913,50218,49782,0.436,0.436,0.436
15,50000,50000,50000,50000,35031,14969,14884,35116,49915,50085,49788,50212,0.424,0.424,0.424
16,50000,50000,50000,50000,34990,15010,15073,34927,50063,49937,50158,49842,0.316,0.316,0.316
17,50000,50000,50000,50000,35096,14904,14907,35093,50003,49997,50008,49992,0.016,0.016,0.016
18,50000,50000,50000,50000,35175,14825,15020,34980,50195,49805,50488,49512,0.976,0.976,0.976
19,50000,50000,50000,50000,35110,14890,15106,34894,50216,49784,50540,49460,1.08,1.08,1.08
20,50000,50000,50000,50000,34917,15083,15032,34968,49949,50051,49873,50127,0.254,0.254,0.254
21,50000,50000,50000,50000,35053,14947,14824,35176,49877,50123,49693,50307,0.614,0.614,0.614
22,50000,50000,50000,50000,35007,14993,15123,34877,50130,49870,50325,49675,0.65,0.65,0.65
23,50000,50000,50000,50000,35055,14945,14986,35014,50041,49959,50103,49897,0.206,0.206,0.206
24,50000,50000,50000,50000,35115,14885,14843,35157,49958,50042,49895,50105,0.21,0.21,0.21
25,50000,50000,50000,50000,34942,15058,15092,34908,50034,49966,50085,49915,0.17,0.17,0.17
26,50000,50000,50000,50000,34913,15087,14938,35062,49851,50149,49628,50372,0.744,0.744,0.744
27,50000,50000,50000,50000,35024,14976,15061,34939,50085,49915,50213,49787,0.426,0.426,0.426
28,50000,50000,50000,50000,34823,15177,15085,34915,49908,50092,49770,50230,0.46,0.46,0.46
29,50000,50000,50000,50000,34913,15087,15023,34977,49936,50064,49840,50160,0.32,0.32,0.32
30,50000,50000,50000,50000,35212,14788,14929,35071,50141,49859,50353,49647,0.706,0.706,0.706
31,50000,50000,50000,50000,34900,15100,14991,35009,49891,50109,49728,50272,0.544,0.544,0.544
32,50000,50000,50000,50000,35035,14965,14984,35016,50019,49981,50048,49952,0.096,0.096,0.096
33,50000,50000,50000,50000,35024,14976,14900,35100,49924,50076,49810,50190,0.38,0.38,0.38
34,50000,50000,50000,50000,34981,15019,15032,34968,50013,49987,50033,49967,0.066,0.066,0.066
35,50000,50000,50000,50000,34911,15089,14895,35105,49806,50194,49515,50485,0.97,0.97,0.97
36,50000,50000,50000,50000,35032,14968,15195,34805,50227,49773,50568,49432,1.136,1.136,1.136
37,50000,50000,50000,50000,34929,15071,15026,34974,49955,50045,49888,50112,0.224,0.224,0.224
38,50000,50000,50000,50000,34976,15024,14973,35027,49949,50051,49873,50127,0.254,0.254,0.254
39,50000,50000,50000,50000,34856,15144,14757,35243,49613,50387,49033,50967,1.934,1.934,1.934
40,50000,50000,50000,50000,34992,15008,15136,34864,50128,49872,50320,49680,0.64,0.64,0.64
41,50000,50000,50000,50000,35099,14901,14945,35055,50044,49956,50110,49890,0.22,0.22,0.22
42,50000,50000,50000,50000,34891,15109,14855,35145,49746,50254,49365,50635,1.27,1.27,1.27
43,50000,50000,50000,50000,35135,14865,15023,34977,50158,49842,50395,49605,0.79,0.79,0.79
44,50000,50000,50000,50000,35251,14749,15161,34839,50412,49588,51030,48970,2.06,2.06,2.06
45,50000,50000,50000,50000,35065,14935,15060,34940,50125,49875,50313,49687,0.626,0.626,0.626
46,50000,50000,50000,50000,35036,14964,15104,34896,50140,49860,50350,49650,0.7,0.7,0.7
47,50000,50000,50000,50000,35017,14983,14957,35043,49974,50026,49935,50065,0.13,0.13,0.13
48,50000,50000,50000,50000,35005,14995,15126,34874,50131,49869,50328,49672,0.656,0.656,0.656
49,50000,50000,50000,50000,35014,14986,14869,35131,49883,50117,49708,50292,0.584,0.584,0.584
